能力評価,性格診断結果,思索型:内閉性,自制型:弱気さ,従順性,ﾓﾗﾄﾘｱﾑ傾向,自己信頼性,努力型:持続性,積極性,協調性,共感性,努力型:規則性
B,B,,33.0,,37.0,28.0,73.0,,,,46.0
,C,37.0,34.0,22.0,,,35.0,14.0,71.0,39.0,42.0
B,S,,27.0,57.0,41.0,30.0,45.0,61.0,69.0,,54.0
A,A,58.0,58.0,48.0,63.0,37.0,54.0,,11.0,47.0,
A,A,52.0,77.0,,49.0,28.0,23.0,,49.0,33.0,71.0
B,－,,53.0,51.0,43.0,49.0,17.0,53.0,43.0,30.0,58.0
C,C,38.0,80.0,22.0,46.0,38.0,37.0,48.0,55.0,38.0,58.0
,－,53.0,47.0,,47.0,26.0,33.0,56.0,21.0,,
B,D,,77.0,55.0,46.0,61.0,,41.0,,20.0,39.0
A,－,47.0,40.0,42.0,44.0,35.0,23.0,58.0,50.0,55.0,51.0
B,B,33.0,55.0,22.0,,33.0,,55.0,,27.0,57.0
B,C,41.0,59.0,58.0,,,,52.0,20.0,23.0,75.0
A,B,62.0,71.0,44.0,33.0,50.0,52.0,42.0,,22.0,57.0
B,B,43.0,54.0,60.0,,43.0,44.0,28.0,42.0,42.0,46.0
B,D,54.0,,49.0,35.0,,14.0,54.0,26.0,14.0,48.0
A,C,56.0,55.0,,40.0,18.0,,,14.0,,40.0
A,D,,65.0,53.0,28.0,26.0,,40.0,50.0,26.0,52.0
B,B,65.0,,47.0,28.0,34.0,23.0,40.0,62.0,35.0,
B,－,32.0,51.0,46.0,,23.0,54.0,74.0,19.0,,69.0
A,B,27.0,62.0,50.0,56.0,24.0,41.0,45.0,49.0,,42.0
,B,61.0,69.0,,26.0,11.0,38.0,32.0,32.0,19.0,42.0
B,－,,84.0,37.0,44.0,40.0,59.0,41.0,30.0,32.0,
B,D,86.0,55.0,35.0,27.0,11.0,37.0,39.0,51.0,35.0,47.0
C,D,,33.0,32.0,44.0,,,45.0,74.0,,51.0
A,－,44.0,54.0,37.0,52.0,28.0,48.0,70.0,39.0,,70.0
B,S,76.0,81.0,47.0,27.0,,49.0,,,,79.0
,B,29.0,66.0,29.0,44.0,67.0,42.0,,27.0,25.0,59.0
,D,44.0,,79.0,26.0,37.0,25.0,,70.0,,60.0
A,C,59.0,43.0,,39.0,18.0,28.0,74.0,29.0,21.0,
B,－,44.0,69.0,,43.0,58.0,50.0,48.0,23.0,42.0,56.0
B,A,37.0,,,35.0,49.0,23.0,52.0,66.0,14.0,49.0
A,－,,69.0,23.0,47.0,28.0,14.0,,,23.0,66.0
B,－,,40.0,65.0,52.0,38.0,47.0,40.0,26.0,,41.0
B,C,62.0,72.0,25.0,30.0,,44.0,28.0,61.0,30.0,
B,B,28.0,49.0,25.0,27.0,30.0,33.0,61.0,31.0,46.0,62.0
A,S,52.0,52.0,54.0,,22.0,37.0,,62.0,48.0,55.0
,D,60.0,43.0,22.0,47.0,41.0,32.0,74.0,44.0,28.0,
B,A,,,41.0,36.0,,49.0,47.0,,19.0,
B,A,67.0,33.0,40.0,41.0,42.0,55.0,51.0,,12.0,
,C,,39.0,28.0,,,25.0,70.0,57.0,24.0,
B,－,70.0,47.0,46.0,55.0,32.0,35.0,21.0,,45.0,36.0
A,B,43.0,30.0,51.0,,47.0,50.0,74.0,,48.0,58.0
,B,48.0,51.0,55.0,41.0,41.0,29.0,37.0,62.0,15.0,60.0
B,－,48.0,58.0,46.0,31.0,35.0,45.0,49.0,46.0,,55.0
B,D,35.0,49.0,56.0,51.0,,54.0,13.0,59.0,,47.0
C,D,,,,43.0,42.0,63.0,,26.0,,41.0
,－,79.0,59.0,25.0,49.0,45.0,31.0,17.0,26.0,43.0,50.0
B,D,70.0,44.0,,52.0,54.0,16.0,44.0,22.0,,72.0
B,－,52.0,56.0,48.0,37.0,43.0,,52.0,58.0,,39.0
A,C,52.0,64.0,58.0,46.0,49.0,63.0,58.0,46.0,20.0,58.0
B,S,56.0,43.0,22.0,,43.0,42.0,34.0,62.0,,67.0
A,D,59.0,43.0,46.0,43.0,27.0,,74.0,47.0,49.0,58.0
B,S,53.0,,41.0,,11.0,30.0,48.0,49.0,39.0,79.0
A,D,47.0,48.0,49.0,43.0,,,,,,42.0
B,S,88.0,,56.0,43.0,59.0,51.0,45.0,61.0,40.0,68.0
C,D,57.0,,53.0,26.0,33.0,20.0,57.0,31.0,31.0,36.0
A,－,38.0,46.0,,33.0,52.0,23.0,66.0,59.0,52.0,78.0
A,S,43.0,53.0,61.0,31.0,47.0,54.0,50.0,68.0,32.0,58.0
,D,42.0,46.0,55.0,49.0,46.0,49.0,60.0,69.0,,51.0
,D,,50.0,49.0,35.0,37.0,40.0,,34.0,34.0,
B,D,28.0,,22.0,47.0,29.0,14.0,,,,43.0
B,D,30.0,,,,,23.0,52.0,40.0,57.0,60.0
,－,57.0,48.0,,42.0,,49.0,52.0,15.0,25.0,40.0
,S,29.0,24.0,52.0,37.0,,47.0,,58.0,43.0,53.0
A,D,46.0,37.0,48.0,,29.0,48.0,41.0,39.0,46.0,52.0
B,S,35.0,,63.0,43.0,30.0,,49.0,41.0,,
A,－,53.0,45.0,44.0,51.0,30.0,27.0,62.0,,15.0,35.0
C,B,66.0,30.0,43.0,,42.0,22.0,21.0,36.0,33.0,55.0
B,D,62.0,,56.0,43.0,38.0,,61.0,66.0,36.0,
B,C,55.0,63.0,38.0,46.0,44.0,,37.0,21.0,10.0,45.0
A,－,42.0,43.0,31.0,55.0,20.0,57.0,74.0,45.0,30.0,63.0
B,C,41.0,41.0,60.0,52.0,35.0,,,35.0,62.0,54.0
A,－,,55.0,45.0,47.0,,44.0,71.0,66.0,56.0,52.0
B,A,38.0,69.0,50.0,42.0,43.0,65.0,,18.0,33.0,
,C,46.0,62.0,,,31.0,21.0,68.0,,48.0,30.0
A,－,36.0,35.0,46.0,40.0,22.0,53.0,63.0,50.0,11.0,
A,－,46.0,31.0,50.0,51.0,30.0,56.0,,58.0,,59.0
B,－,70.0,86.0,50.0,,28.0,,,69.0,10.0,
B,C,,,44.0,29.0,59.0,,62.0,,,63.0
,B,59.0,59.0,64.0,63.0,62.0,27.0,36.0,,32.0,37.0
B,S,33.0,,51.0,63.0,22.0,36.0,54.0,44.0,49.0,64.0
B,－,50.0,58.0,38.0,40.0,45.0,57.0,,,48.0,39.0
B,C,,49.0,22.0,39.0,27.0,41.0,34.0,15.0,28.0,60.0
B,－,52.0,25.0,42.0,42.0,35.0,66.0,,46.0,10.0,75.0
B,C,61.0,,45.0,,31.0,76.0,,7.0,32.0,47.0
B,－,35.0,48.0,,41.0,30.0,,,56.0,40.0,51.0
,－,,69.0,48.0,52.0,38.0,63.0,55.0,31.0,,44.0
B,－,,44.0,30.0,,46.0,31.0,38.0,53.0,,49.0
A,－,40.0,43.0,43.0,50.0,33.0,49.0,33.0,32.0,12.0,
B,C,,43.0,,38.0,44.0,56.0,61.0,,,54.0
B,S,,46.0,44.0,,45.0,24.0,60.0,47.0,23.0,50.0
A,B,78.0,,43.0,,32.0,27.0,59.0,43.0,44.0,49.0
A,B,,69.0,,29.0,42.0,65.0,64.0,19.0,42.0,60.0
,D,43.0,,47.0,25.0,34.0,41.0,47.0,45.0,16.0,
B,S,,44.0,,46.0,,26.0,39.0,40.0,,61.0
,C,77.0,68.0,,51.0,28.0,53.0,46.0,30.0,19.0,65.0
B,B,49.0,43.0,58.0,50.0,29.0,46.0,71.0,51.0,37.0,47.0
A,－,82.0,45.0,27.0,,18.0,14.0,68.0,36.0,11.0,50.0
C,－,57.0,31.0,45.0,,67.0,53.0,74.0,62.0,39.0,63.0
,S,41.0,,,43.0,63.0,45.0,54.0,21.0,36.0,50.0
B,－,51.0,74.0,41.0,,49.0,,52.0,61.0,44.0,63.0
,C,46.0,44.0,44.0,47.0,26.0,,30.0,42.0,32.0,
,D,,67.0,,29.0,,22.0,45.0,61.0,29.0,59.0
A,C,61.0,46.0,41.0,35.0,39.0,31.0,55.0,45.0,48.0,50.0
A,－,27.0,37.0,58.0,51.0,31.0,41.0,65.0,31.0,43.0,52.0
C,D,42.0,36.0,56.0,47.0,43.0,39.0,71.0,56.0,,65.0
B,C,61.0,36.0,57.0,48.0,48.0,30.0,31.0,62.0,49.0,44.0
A,S,,,51.0,49.0,29.0,26.0,74.0,24.0,62.0,63.0
A,A,43.0,43.0,54.0,53.0,21.0,72.0,63.0,29.0,,
,B,56.0,40.0,56.0,45.0,32.0,19.0,35.0,52.0,26.0,38.0
,B,67.0,39.0,,,,53.0,63.0,41.0,,79.0
B,S,45.0,39.0,64.0,37.0,31.0,,54.0,60.0,52.0,
A,A,,54.0,50.0,52.0,51.0,29.0,33.0,49.0,,79.0
B,S,48.0,60.0,62.0,49.0,,54.0,,60.0,25.0,51.0
B,A,27.0,89.0,48.0,26.0,,26.0,46.0,68.0,53.0,
A,B,,37.0,54.0,32.0,28.0,18.0,69.0,62.0,37.0,51.0
A,D,37.0,62.0,31.0,43.0,,31.0,65.0,50.0,31.0,55.0
B,D,27.0,,,,42.0,,,,14.0,54.0
A,D,,54.0,,47.0,34.0,48.0,56.0,20.0,30.0,50.0
B,A,,59.0,55.0,41.0,70.0,58.0,48.0,37.0,10.0,
C,－,43.0,46.0,,24.0,,50.0,52.0,74.0,54.0,50.0
,A,57.0,60.0,44.0,,72.0,25.0,53.0,51.0,,
B,A,64.0,56.0,26.0,31.0,31.0,50.0,74.0,65.0,,27.0
B,B,35.0,50.0,46.0,41.0,46.0,39.0,28.0,59.0,37.0,56.0
A,C,,,22.0,,,41.0,22.0,36.0,42.0,43.0
B,A,33.0,87.0,22.0,,,63.0,54.0,61.0,15.0,40.0
A,－,27.0,,53.0,,,36.0,36.0,,,
,C,44.0,74.0,46.0,26.0,44.0,54.0,38.0,,45.0,55.0
A,D,35.0,54.0,58.0,51.0,,,44.0,,,29.0
A,A,39.0,40.0,28.0,,38.0,41.0,,69.0,,
B,S,74.0,49.0,65.0,,32.0,,37.0,62.0,49.0,47.0
C,－,27.0,80.0,53.0,,54.0,43.0,,41.0,41.0,43.0
B,C,37.0,65.0,57.0,73.0,40.0,58.0,61.0,,,28.0
B,B,48.0,54.0,44.0,,32.0,44.0,64.0,48.0,,73.0
A,B,62.0,44.0,45.0,55.0,33.0,61.0,55.0,45.0,,56.0
B,－,44.0,56.0,47.0,43.0,22.0,36.0,67.0,38.0,,64.0
A,D,37.0,35.0,43.0,49.0,24.0,46.0,57.0,31.0,34.0,
B,D,46.0,76.0,53.0,,40.0,26.0,27.0,55.0,,
,D,48.0,,,47.0,61.0,,38.0,41.0,,43.0
,A,,53.0,57.0,29.0,31.0,46.0,58.0,28.0,,57.0
B,A,,,,,,,51.0,22.0,53.0,77.0
B,D,63.0,28.0,,,,55.0,50.0,26.0,,
B,－,49.0,,47.0,,37.0,24.0,59.0,32.0,,52.0
B,－,56.0,,56.0,29.0,26.0,,38.0,41.0,,48.0
C,B,27.0,31.0,50.0,48.0,56.0,,68.0,67.0,38.0,61.0
A,C,45.0,58.0,48.0,,57.0,45.0,64.0,13.0,,47.0
A,B,48.0,44.0,47.0,59.0,11.0,61.0,62.0,48.0,64.0,
B,B,,59.0,47.0,,29.0,21.0,,23.0,57.0,43.0
C,A,,54.0,36.0,49.0,39.0,37.0,44.0,10.0,35.0,55.0
,S,,78.0,33.0,42.0,11.0,37.0,68.0,16.0,,50.0
B,D,50.0,44.0,24.0,33.0,38.0,57.0,35.0,31.0,21.0,47.0
,D,53.0,,,48.0,34.0,,50.0,53.0,66.0,
A,B,,59.0,,44.0,48.0,49.0,,,27.0,
,S,27.0,26.0,44.0,50.0,15.0,,,,19.0,47.0
B,B,46.0,26.0,44.0,46.0,73.0,77.0,55.0,49.0,15.0,78.0
A,D,50.0,44.0,,45.0,40.0,62.0,37.0,34.0,,52.0
,D,,76.0,,41.0,48.0,,,74.0,13.0,49.0
B,B,81.0,,45.0,,47.0,37.0,,35.0,10.0,79.0
B,B,48.0,82.0,65.0,,30.0,70.0,16.0,16.0,,
B,S,49.0,43.0,61.0,35.0,49.0,27.0,34.0,37.0,10.0,52.0
B,S,55.0,,38.0,,42.0,,42.0,42.0,15.0,48.0
B,B,56.0,53.0,51.0,45.0,35.0,46.0,,,,52.0
B,S,71.0,37.0,,46.0,25.0,29.0,53.0,63.0,24.0,55.0
B,S,45.0,61.0,51.0,50.0,51.0,27.0,48.0,69.0,46.0,
,D,47.0,34.0,,47.0,33.0,71.0,,66.0,60.0,54.0
B,B,50.0,,,48.0,39.0,40.0,45.0,65.0,34.0,52.0
B,S,52.0,68.0,69.0,37.0,,35.0,63.0,32.0,,29.0
A,－,51.0,,53.0,,64.0,50.0,43.0,61.0,12.0,49.0
B,A,43.0,54.0,,42.0,,55.0,,64.0,24.0,45.0
A,－,55.0,,49.0,69.0,60.0,52.0,,36.0,47.0,54.0
A,C,70.0,62.0,34.0,38.0,,23.0,,45.0,39.0,63.0
,－,27.0,74.0,63.0,,38.0,22.0,33.0,62.0,30.0,60.0
B,A,50.0,60.0,,47.0,42.0,,42.0,43.0,25.0,
B,－,65.0,52.0,46.0,52.0,15.0,15.0,,57.0,25.0,
B,B,30.0,,42.0,25.0,,20.0,22.0,44.0,15.0,
A,S,,33.0,23.0,,71.0,60.0,55.0,53.0,10.0,
B,D,,42.0,,44.0,31.0,17.0,,45.0,,43.0
B,B,,42.0,36.0,,,41.0,70.0,30.0,30.0,51.0
B,A,45.0,,52.0,44.0,,,,,,76.0
A,S,32.0,29.0,51.0,,27.0,26.0,63.0,31.0,51.0,
A,－,34.0,63.0,29.0,57.0,38.0,47.0,39.0,66.0,27.0,60.0
,－,37.0,,43.0,43.0,,19.0,28.0,58.0,10.0,42.0
B,D,34.0,,56.0,58.0,,54.0,57.0,54.0,50.0,79.0
B,－,,88.0,40.0,81.0,42.0,,44.0,56.0,49.0,47.0
C,S,29.0,48.0,40.0,46.0,,24.0,,,,56.0
B,－,28.0,31.0,57.0,46.0,44.0,30.0,45.0,47.0,48.0,53.0
B,－,43.0,96.0,33.0,28.0,39.0,50.0,,43.0,27.0,55.0
B,C,45.0,49.0,49.0,27.0,43.0,67.0,,,27.0,75.0
A,－,29.0,55.0,36.0,35.0,55.0,50.0,40.0,,62.0,
B,B,52.0,,22.0,53.0,,44.0,18.0,63.0,14.0,57.0
B,D,56.0,,47.0,,34.0,57.0,49.0,50.0,16.0,
A,C,38.0,48.0,50.0,39.0,39.0,55.0,,17.0,51.0,36.0
A,－,47.0,,,,39.0,65.0,47.0,38.0,24.0,61.0
,S,39.0,56.0,42.0,54.0,39.0,72.0,52.0,35.0,15.0,62.0
,C,43.0,90.0,59.0,26.0,29.0,26.0,,41.0,38.0,49.0
A,C,,55.0,52.0,65.0,,71.0,43.0,61.0,21.0,39.0
B,－,,52.0,,,,,34.0,31.0,10.0,
A,D,28.0,48.0,49.0,46.0,75.0,20.0,52.0,61.0,,
B,D,43.0,,,46.0,72.0,15.0,34.0,66.0,10.0,
A,S,28.0,47.0,37.0,49.0,36.0,23.0,58.0,48.0,31.0,
,D,71.0,82.0,48.0,36.0,,55.0,38.0,59.0,,54.0
,C,70.0,,32.0,46.0,,39.0,45.0,34.0,,
A,D,55.0,,22.0,43.0,32.0,,,63.0,33.0,61.0
A,－,39.0,90.0,22.0,36.0,30.0,24.0,26.0,17.0,28.0,52.0
,C,78.0,,,51.0,,,53.0,46.0,30.0,50.0
B,－,,93.0,44.0,30.0,44.0,53.0,44.0,74.0,38.0,50.0
C,S,70.0,37.0,29.0,49.0,34.0,51.0,38.0,65.0,30.0,51.0
B,D,27.0,75.0,44.0,36.0,50.0,19.0,58.0,46.0,45.0,
B,B,51.0,54.0,,41.0,30.0,,61.0,59.0,42.0,61.0
,S,28.0,33.0,32.0,,,59.0,35.0,16.0,21.0,76.0
B,A,39.0,81.0,62.0,51.0,42.0,31.0,49.0,43.0,24.0,73.0
,D,56.0,,,38.0,37.0,67.0,35.0,13.0,48.0,
C,C,44.0,46.0,43.0,48.0,42.0,59.0,,,29.0,79.0
B,－,55.0,45.0,,29.0,37.0,49.0,59.0,74.0,43.0,57.0
A,D,69.0,62.0,45.0,43.0,24.0,58.0,42.0,,36.0,50.0
A,S,38.0,67.0,22.0,45.0,47.0,22.0,,72.0,44.0,
A,D,,37.0,44.0,,46.0,19.0,60.0,54.0,52.0,52.0
B,－,,47.0,42.0,47.0,,48.0,36.0,42.0,19.0,56.0
,D,42.0,67.0,57.0,50.0,25.0,26.0,52.0,,37.0,62.0
A,－,81.0,41.0,54.0,57.0,31.0,,39.0,28.0,20.0,68.0
B,C,61.0,44.0,22.0,50.0,,46.0,22.0,55.0,,
B,A,,46.0,40.0,52.0,53.0,,65.0,61.0,14.0,53.0
B,S,67.0,53.0,45.0,45.0,29.0,59.0,46.0,,20.0,52.0
B,－,66.0,53.0,,46.0,,,,34.0,16.0,50.0
C,－,40.0,34.0,47.0,,35.0,44.0,62.0,44.0,,
A,C,,44.0,46.0,39.0,29.0,21.0,,26.0,,54.0
A,B,45.0,,,54.0,45.0,61.0,,29.0,10.0,37.0
B,D,71.0,92.0,37.0,58.0,39.0,56.0,38.0,53.0,30.0,48.0
,B,41.0,70.0,52.0,45.0,51.0,,61.0,61.0,,32.0
B,S,65.0,,42.0,30.0,61.0,14.0,,74.0,14.0,57.0
B,A,53.0,39.0,57.0,51.0,39.0,46.0,50.0,54.0,39.0,66.0
B,B,45.0,81.0,26.0,42.0,24.0,29.0,42.0,63.0,38.0,63.0
,D,51.0,56.0,60.0,35.0,,53.0,51.0,,57.0,72.0
C,S,68.0,47.0,,43.0,48.0,45.0,,55.0,30.0,58.0
A,S,,28.0,,28.0,29.0,40.0,,17.0,19.0,36.0
B,－,53.0,60.0,56.0,,12.0,27.0,57.0,60.0,40.0,62.0
B,S,63.0,77.0,59.0,45.0,35.0,48.0,52.0,,31.0,
B,－,,,49.0,,43.0,20.0,40.0,,,
B,A,27.0,56.0,22.0,42.0,39.0,36.0,64.0,,,
B,D,,66.0,56.0,46.0,68.0,24.0,39.0,71.0,48.0,54.0
B,B,30.0,59.0,45.0,34.0,41.0,39.0,73.0,64.0,36.0,
B,D,,36.0,59.0,25.0,,47.0,63.0,70.0,38.0,44.0
B,B,33.0,45.0,54.0,45.0,61.0,46.0,63.0,26.0,23.0,
B,C,,44.0,,59.0,,33.0,51.0,65.0,10.0,52.0
,－,42.0,89.0,55.0,,34.0,47.0,65.0,,54.0,
A,－,67.0,49.0,,48.0,35.0,,50.0,19.0,23.0,46.0
A,D,42.0,89.0,42.0,84.0,,14.0,,51.0,23.0,54.0
A,D,56.0,,,77.0,11.0,14.0,61.0,37.0,,64.0
B,D,52.0,49.0,57.0,,36.0,25.0,47.0,64.0,42.0,62.0
,A,,44.0,52.0,31.0,45.0,35.0,45.0,48.0,39.0,54.0
C,－,45.0,49.0,57.0,66.0,54.0,54.0,52.0,36.0,50.0,48.0
B,B,40.0,78.0,22.0,64.0,34.0,43.0,57.0,23.0,20.0,
C,－,39.0,47.0,22.0,42.0,39.0,47.0,28.0,,37.0,53.0
,－,29.0,68.0,49.0,47.0,23.0,31.0,50.0,59.0,22.0,42.0
,D,57.0,47.0,48.0,45.0,,,64.0,,,57.0
,A,37.0,46.0,28.0,29.0,,29.0,42.0,,13.0,56.0
,C,38.0,29.0,52.0,49.0,48.0,41.0,25.0,61.0,39.0,
A,B,28.0,48.0,55.0,45.0,31.0,25.0,74.0,55.0,50.0,63.0
,－,32.0,,,,53.0,48.0,,35.0,32.0,51.0
A,B,,44.0,51.0,59.0,,31.0,74.0,45.0,24.0,56.0
,－,51.0,48.0,52.0,43.0,29.0,50.0,62.0,,38.0,
,－,,85.0,,63.0,,43.0,74.0,,53.0,51.0
A,D,44.0,,43.0,50.0,41.0,,41.0,26.0,34.0,
C,S,75.0,,42.0,56.0,45.0,50.0,50.0,73.0,,51.0
A,D,27.0,82.0,,50.0,,20.0,61.0,60.0,61.0,41.0
B,D,,80.0,,40.0,34.0,42.0,54.0,13.0,31.0,56.0
B,A,33.0,51.0,,47.0,,32.0,49.0,38.0,18.0,52.0
,A,38.0,27.0,25.0,47.0,40.0,,27.0,14.0,25.0,58.0
B,D,,,49.0,50.0,,45.0,,19.0,20.0,73.0
,B,58.0,60.0,42.0,32.0,39.0,28.0,43.0,55.0,20.0,46.0
B,A,61.0,56.0,60.0,39.0,,,72.0,23.0,45.0,50.0
B,S,30.0,34.0,31.0,30.0,48.0,20.0,69.0,58.0,13.0,53.0
B,－,55.0,54.0,35.0,45.0,,24.0,74.0,34.0,,
,S,50.0,96.0,33.0,,,48.0,58.0,63.0,14.0,53.0
,B,71.0,69.0,,39.0,,35.0,41.0,,23.0,50.0
A,B,74.0,80.0,46.0,,37.0,48.0,37.0,13.0,28.0,53.0
C,B,41.0,,51.0,,,36.0,70.0,18.0,31.0,52.0
C,D,34.0,,25.0,38.0,18.0,42.0,67.0,,20.0,
B,－,51.0,,32.0,65.0,58.0,23.0,63.0,,23.0,52.0
A,S,40.0,44.0,44.0,27.0,27.0,43.0,56.0,40.0,20.0,64.0
B,B,37.0,62.0,25.0,52.0,51.0,53.0,33.0,,,
,－,37.0,32.0,47.0,,46.0,61.0,64.0,,49.0,
,－,80.0,28.0,37.0,49.0,11.0,41.0,,45.0,38.0,53.0
B,C,38.0,60.0,34.0,48.0,,,58.0,42.0,19.0,
B,B,45.0,60.0,45.0,44.0,,32.0,45.0,48.0,38.0,67.0
B,C,,47.0,53.0,78.0,38.0,20.0,55.0,50.0,30.0,62.0
A,D,50.0,28.0,61.0,,23.0,42.0,68.0,43.0,50.0,56.0
B,B,,41.0,31.0,25.0,49.0,,26.0,,10.0,52.0
B,A,32.0,49.0,35.0,71.0,33.0,14.0,55.0,63.0,39.0,58.0
B,S,49.0,,46.0,,41.0,44.0,48.0,11.0,31.0,36.0
A,S,50.0,33.0,22.0,,24.0,30.0,25.0,35.0,,36.0
B,S,41.0,,23.0,,46.0,34.0,55.0,39.0,,63.0
A,S,62.0,55.0,47.0,50.0,42.0,20.0,64.0,,18.0,46.0
A,S,60.0,52.0,,27.0,51.0,,45.0,54.0,,79.0
B,－,54.0,94.0,45.0,40.0,25.0,,53.0,32.0,28.0,62.0
C,S,49.0,47.0,39.0,40.0,,47.0,,50.0,48.0,53.0
A,A,42.0,32.0,34.0,42.0,,23.0,47.0,32.0,29.0,57.0
C,C,61.0,67.0,34.0,37.0,33.0,,,,28.0,61.0
B,C,38.0,59.0,25.0,,34.0,20.0,,42.0,34.0,58.0
B,A,,38.0,24.0,40.0,23.0,71.0,57.0,45.0,29.0,56.0
,D,52.0,59.0,50.0,43.0,46.0,20.0,45.0,,22.0,
,A,59.0,36.0,39.0,,24.0,,55.0,,,63.0
,A,41.0,58.0,,25.0,43.0,27.0,52.0,34.0,30.0,63.0
B,A,75.0,55.0,54.0,48.0,38.0,22.0,55.0,74.0,25.0,79.0
C,－,62.0,33.0,25.0,44.0,26.0,,63.0,47.0,,41.0
B,－,36.0,40.0,58.0,50.0,45.0,27.0,53.0,37.0,,70.0
,－,66.0,68.0,41.0,33.0,18.0,36.0,49.0,9.0,15.0,
A,S,29.0,52.0,54.0,,31.0,39.0,35.0,44.0,12.0,
B,S,,32.0,,50.0,45.0,18.0,37.0,,10.0,79.0
A,C,,69.0,22.0,49.0,72.0,55.0,38.0,24.0,38.0,44.0
C,D,49.0,41.0,54.0,45.0,,39.0,55.0,72.0,56.0,53.0
B,A,47.0,44.0,,,23.0,39.0,64.0,46.0,21.0,64.0
A,B,41.0,45.0,46.0,51.0,,37.0,47.0,45.0,26.0,42.0
B,－,35.0,,51.0,,,,,,,
B,－,77.0,52.0,52.0,45.0,30.0,49.0,35.0,49.0,31.0,67.0
B,A,75.0,45.0,39.0,,39.0,50.0,56.0,19.0,26.0,
,D,41.0,55.0,,35.0,38.0,71.0,38.0,24.0,,64.0
B,S,82.0,,53.0,46.0,31.0,,,20.0,39.0,43.0
,S,61.0,86.0,65.0,71.0,48.0,23.0,,45.0,37.0,63.0
A,－,45.0,,22.0,55.0,15.0,,22.0,28.0,27.0,
,A,46.0,,,48.0,45.0,40.0,39.0,,50.0,
A,S,38.0,48.0,,,37.0,,52.0,71.0,,62.0
C,D,60.0,40.0,58.0,45.0,26.0,72.0,68.0,63.0,62.0,
A,－,36.0,,22.0,46.0,28.0,29.0,,,,51.0
B,C,53.0,96.0,70.0,34.0,55.0,46.0,36.0,,38.0,39.0
A,D,,72.0,36.0,52.0,65.0,42.0,31.0,,,46.0
B,C,44.0,,53.0,44.0,56.0,57.0,68.0,70.0,28.0,61.0
B,A,37.0,62.0,46.0,62.0,30.0,30.0,56.0,,30.0,61.0
,B,57.0,48.0,36.0,62.0,,44.0,54.0,58.0,46.0,56.0
B,C,56.0,47.0,,29.0,,21.0,74.0,63.0,44.0,63.0
B,A,60.0,58.0,55.0,35.0,39.0,,,,26.0,66.0
B,－,37.0,25.0,44.0,,25.0,33.0,52.0,,52.0,46.0
C,－,,48.0,48.0,51.0,,,48.0,57.0,14.0,45.0
,D,45.0,,34.0,57.0,38.0,32.0,57.0,31.0,34.0,60.0
B,－,37.0,,,,56.0,,67.0,44.0,30.0,58.0
B,A,45.0,,60.0,30.0,26.0,,60.0,25.0,25.0,47.0
B,－,,56.0,51.0,,30.0,,48.0,40.0,13.0,79.0
A,D,,,41.0,,48.0,51.0,74.0,59.0,37.0,40.0
,S,,34.0,39.0,,39.0,,45.0,51.0,48.0,45.0
A,S,38.0,47.0,59.0,,35.0,,70.0,50.0,31.0,56.0
A,C,,55.0,27.0,,24.0,59.0,74.0,48.0,33.0,43.0
,S,43.0,34.0,60.0,46.0,15.0,,,43.0,45.0,65.0
B,C,27.0,67.0,25.0,,42.0,31.0,15.0,73.0,55.0,
A,A,,49.0,,55.0,49.0,24.0,66.0,64.0,53.0,38.0
,－,35.0,79.0,,36.0,43.0,35.0,60.0,52.0,35.0,65.0
B,B,48.0,,46.0,38.0,45.0,46.0,,73.0,19.0,67.0
A,S,83.0,56.0,35.0,,46.0,31.0,50.0,57.0,59.0,38.0
A,D,35.0,,49.0,47.0,41.0,49.0,44.0,24.0,17.0,58.0
,B,49.0,32.0,,,,30.0,45.0,11.0,57.0,52.0
,D,64.0,56.0,50.0,41.0,37.0,52.0,39.0,22.0,15.0,
A,B,50.0,,56.0,35.0,,,45.0,,32.0,36.0
A,D,,62.0,41.0,,31.0,,44.0,,22.0,
,－,37.0,46.0,50.0,26.0,70.0,31.0,,26.0,18.0,71.0
B,S,40.0,50.0,41.0,45.0,44.0,30.0,49.0,25.0,18.0,66.0
,C,,49.0,,45.0,50.0,22.0,46.0,,37.0,45.0
C,－,,55.0,43.0,33.0,27.0,45.0,69.0,50.0,,64.0
B,A,44.0,34.0,44.0,,25.0,,33.0,,32.0,66.0
B,A,36.0,56.0,22.0,50.0,42.0,25.0,53.0,,43.0,64.0
A,B,38.0,56.0,22.0,50.0,34.0,,,12.0,34.0,49.0
,A,39.0,72.0,24.0,48.0,71.0,35.0,53.0,74.0,40.0,60.0
A,S,,,,80.0,35.0,,,27.0,52.0,51.0
,D,34.0,41.0,53.0,51.0,35.0,47.0,38.0,39.0,27.0,53.0
A,S,59.0,45.0,60.0,27.0,,68.0,44.0,50.0,24.0,
,－,71.0,94.0,28.0,,34.0,42.0,,26.0,10.0,55.0
B,C,68.0,55.0,22.0,45.0,,46.0,48.0,,22.0,
C,B,49.0,44.0,31.0,62.0,,16.0,,42.0,44.0,38.0
A,S,48.0,40.0,35.0,31.0,57.0,31.0,32.0,48.0,,47.0
,D,57.0,78.0,54.0,47.0,41.0,20.0,16.0,58.0,31.0,53.0
A,S,,37.0,54.0,62.0,29.0,45.0,49.0,53.0,26.0,50.0
